name,lat,long
Alaminos,14.0436,121.2504
Bay,14.16,121.2869
Binan City,14.320993,121.061986
Cabuyao,14.2571,121.1267
Calamba,14.1877,121.1251
Caluan,14.1254,121.3198
Cavinti,14.2647,121.5455
Famy,14.4571,121.4612
Kalayaan,14.3313,121.5484
Liliw,14.1564,121.4339
Los Banos,14.1584,121.2241
Luisiana,14.1908,121.5256
Lumban,14.2956,121.4962
Mabitac,14.4338,121.4113
Magdalena,14.2121,121.4642
Majayjay,14.1247,121.4723
Nagcarlan,14.149,121.3885
Paete,14.3675,121.53
Pagsanjan,14.2504,121.457
Pakil,14.373,121.4499
Pangil,14.4074,121.4956
Pila,14.2156,121.3741
Rizal,14.0841,121.4113
San Pablo City,14.0501,121.3493
San Pedro,14.3442,121.0273
Santa Cruz,14.2581,121.4113
Santa Maria,14.5129,121.4342
Santa Rosa City,14.2943,121.0889
Siniloan,14.4333,121.4806
Victoria,14.2028,121.337
